feature,importance
pos_nnp nn in,0.00039703338
pos_nn cc nnp,0.00039469788
char_s i,0.00038806358
pos_jj nn cc,0.00038781352
char_sc,0.0003874077
pos_vbz dt nn,0.00038614456
char_yo,0.0003848162
char_und,0.00038383724
char_p ,0.00038291418
pos_jj nnp nn nn,0.0003826071
pos_nns nn nn,0.00038119138
char_s th,0.0003801209
char_ w,0.0003792185
char_hi,0.0003774956
char_us,0.00037732383
pos_nnp nnp cd,0.00037667085
pos_nnp jj nnp nnp,0.0003766449
char_k ,0.00037477387
char_ad,0.00037419278
char_ve,0.00037401135
char_ic ,0.00037008658
char_ is ,0.00036963398
pos_cc jj jj,0.00036707614
char_ui,0.00036619988
char_ns ,0.00036487821
pos_nn cc vb,0.00036454128
pos_nnp nnp nn nn nnp,0.00035587052
char_rs ,0.00035420238
pos_cc nn nn,0.00035412217
pos_nnp nnp in,0.00035081577
char_man,0.00034778874
pos_nn jj nnp nnp nnp,0.00034660514
pos_jj nn jj,0.00034338734
char_hat ,0.00033943748
pos_jj nn vbz,0.0003391299
pos_dt nn in nn,0.0003380483
pos_vb dt jj nn,0.00033790115
char_s ,0.00033712052
char_ty,0.0003292257
pos_nnp nnp nnp nn jj,0.00032885672
pos_nnp nnp vbz,0.00032218275
pos_nnp nnp nnp nn in,0.00032058475
pos_nn nn nn cc,0.000318536
char_ai,0.00031710244
pos_jj nn rb,0.00031668544
char_der,0.00031567033
char_rm,0.0003152368
char_ol,0.00031513753
pos_dt jj nnp,0.00031399765
char_ons,0.00031365425
pos_nnp nnp nnp dt,0.00030915064
char_ion,0.00030376675
char_lu,0.00030270728
char_ith ,0.00029747508
pos_nns in jj nns,0.00029675534
char_wa,0.00029670016
char_cal,0.00029238217
pos_nn cc nn in,0.00029234975
pos_nnp nn jj nn,0.00029143423
pos_nn nnp nnp nnp nnp,0.00028613358
char_ig,0.00028427364
pos_jj in dt,0.00027463198
pos_prp vbp dt,0.00027424257
pos_in nnp nn,0.00026231937
pos_nnp nnp nnp jj,0.00026212726
pos_nn in dt jj nn,0.0002615447
char_ent,0.0002604126
char_res,0.00025686852
pos_nn vbz in,0.00025554578
char_e f,0.00025361773
char_n t,0.0002534375
pos_nnp nn vbz,0.00025101396
pos_nn in nns,0.00024108122
char_ere,0.00023777252
pos_nnp nnp nnp nns,0.00023673224
pos_nn cc jj,0.0002334047
char_his,0.00022791652
pos_vb jj nnp,0.00022713843
pos_jj nn nn nnp,0.00022185114
char_pt,0.00021546299
pos_nnp nn jj nnp,0.00021260904
pos_vbp jj nns,0.00020884954
pos_jj nn jj nn,0.00020857452
pos_in dt jj nn nn,0.00020595055
pos_nnp in jj,0.00019951089
char_sa,0.00019558282
char_ r,0.00018927398
char_era,0.000178836
char_ove,0.00016965096
pos_nns cc nn,0.0001666229
pos_vbg nn nn,0.0001604098
char_ent ,0.0001525464
char_ y,0.00015048137
char_ in ,0.00013812484
pos_nnp jj jj,0.00013701506
pos_nn nnp nnp nn,0.00013200138
char_ty ,0.00012883096
pos_nnp nnp nnp nnp in,0.000117465235
pos_cd nn nn,0.0001093812
pos_nn jj nnp nnp,0.00010686531
pos_vb dt nn in,9.707631e-05
pos_in jj jj,8.258572e-05
pos_nnp cc nnp nnp nnp,7.0734925e-05
pos_nns in nnp nnp,7.000733e-05
pos_vb dt nn,6.258163e-05
pos_nns nn jj,4.9601982e-05
char_ue,4.324524e-05
pos_nns in nnp,3.2375094e-05
pos_nn in dt nn,2.2576034e-05
char_ter,1.3027297e-05
char_men,1.1738782e-05
pos_nnp nnp jj nnp,0.0
pos_nnp nnp jj nnp nnp,0.0
pos_nnp nnp jj nn,0.0
char_| ,0.0
pos_nnp nnp nn jj nnp,0.0
pos_vbn in jj,0.0
pos_nnp nnp in dt,0.0
pos_vbn in nnp,0.0
pos_vbp dt jj,0.0
pos_vbp jj nn,0.0
pos_nnp nnp jj,0.0
pos_vbp jj nnp,0.0
pos_nnp nnp dt,0.0
pos_vbz jj nn,0.0
pos_nnp nnp cd nnp,0.0
pos_vbz jj nnp,0.0
pos_nnp nnp cc nnp nnp,0.0
pos_nnp nn nns,0.0
pos_nnp nn nnp nnp nnp,0.0
pos_nnp nn nnp nn,0.0
pos_nnp nn nn nnp nnp,0.0
pos_vbz nnp nnp,0.0
pos_vbg nn in,0.0
pos_nnp nn nn in,0.0
pos_vbg jj nn,0.0
pos_nnp to vb,0.0
pos_nns nnp nnp,0.0
pos_nnp nnp vbd cd,0.0
pos_nnp nnp vbg,0.0
pos_nnp nnp vbp,0.0
pos_nns md vb,0.0
pos_nns jj nnp,0.0
pos_nnp nns vbp,0.0
pos_nnp vbp jj,0.0
pos_nnp nnp nnp vbp,0.0
pos_nns in dt nn,0.0
pos_nns cd vb jj nnp,0.0
pos_nnp vbz dt,0.0
pos_nns cc jj,0.0
pos_nns cd vb jj,0.0
pos_nns cd vb,0.0
pos_nns cc nns,0.0
pos_nnp nnp nns,0.0
pos_nnp nnp nnp vbd,0.0
pos_vbg dt jj nn,0.0
pos_to vb in,0.0
pos_vbg dt jj,0.0
pos_nnp nnp nn vbz,0.0
pos_nnp nnp nnp cc nnp,0.0
pos_nnp nnp nnp in nnp,0.0
pos_nnp nnp nnp jj nn,0.0
pos_vb jj jj,0.0
pos_nnp nnp nnp jj nnp,0.0
pos_rb jj nns,0.0
pos_nns nnp nnp nnp,0.0
pos_nnp nnp nnp nn nnp,0.0
pos_nnp nnp nnp nnp cc,0.0
pos_rb jj nn,0.0
pos_prp vbz jj,0.0
pos_nnp nnp nnp nnp vbd,0.0
pos_nnp nnp nnp nnp vbz,0.0
pos_nns to vb,0.0
pos_vbd dt nn,0.0
pos_nn nns jj,0.0
pos_nnp nn cd,0.0
pos_cc nnp nn,0.0
pos_in vbg dt,0.0
pos_in vbg jj,0.0
pos_jj cc jj nn,0.0
pos_jj jj jj,0.0
pos_jj jj nn in,0.0
pos_jj jj nn nn,0.0
pos_jj jj nn nnp,0.0
pos_jj jj nnp nnp nnp,0.0
pos_jj jj nns,0.0
pos_jj nn in dt nn,0.0
pos_jj nn in nnp,0.0
pos_jj nn jj nnp,0.0
pos_nnp jj nns,0.0
pos_jj nn jj nnp nnp,0.0
pos_jj nn nn cc,0.0
pos_jj nn nn nn,0.0
pos_jj nn nnp nnp nnp,0.0
pos_jj nn prp,0.0
pos_jj nnp in,0.0
pos_jj nnp nn,0.0
pos_cc nn nns,0.0
pos_jj nnp nnp nn,0.0
pos_jj nnp nns,0.0
pos_jj nns in jj,0.0
pos_cc nnp nnp nnp,0.0
pos_in nns in,0.0
pos_in nnp nnp nnp nnp,0.0
pos_in nn nns,0.0
pos_cd nn jj,0.0
pos_cd nnp nnp nnp nnp,0.0
pos_cd vb jj nnp nnp,0.0
pos_dt jj jj,0.0
char_with,0.0
pos_dt jj nn cc,0.0
pos_dt jj nn in dt,0.0
pos_dt nn in dt nn,0.0
pos_dt nn in jj,0.0
pos_dt nn jj,0.0
pos_cd jj nnp,0.0
pos_dt nn vbz,0.0
pos_dt nnp nn,0.0
pos_dt nnp nnp nnp,0.0
pos_dt nnp nnp nnp nnp,0.0
pos_dt nns in,0.0
pos_in dt jj,0.0
pos_in dt nnp nnp,0.0
pos_in jj nn nn,0.0
pos_in jj nnp,0.0
pos_in jj nns,0.0
pos_in nn cc nn,0.0
pos_in nn jj,0.0
pos_jj nns in nn,0.0
pos_jj nns jj,0.0
