rank,feature,type,importance,owner,owner_value,ratio,chatgpt-4o-latest-20250326_mean,claude-3-5-haiku-20241022_mean,deepseek-r1-0528_mean
25,elaborate on any,WORD,0.004168694373220205,claude-3-5-haiku-20241022,0.01993481744752871,27.85485221676278,0.0010577764452845402,0.01993481744752871,0.00037355691362518173
26,like me to elaborate,WORD,0.0040780529379844666,claude-3-5-haiku-20241022,0.022899845654370553,33.091812421255604,0.0010228088286422929,0.022899845654370553,0.00036120799528053794
27,nn jj nnp,POS,0.003975613974034786,deepseek-r1-0528,0.05151861563557529,1.8068084099592594,0.04513817262573899,0.011889029090605177,0.05151861563557529
28,- ,CHAR,0.0039277891628444195,claude-3-5-haiku-20241022,0.06914332939424807,1.362772582939508,0.06862329975446002,0.06914332939424807,0.03285119261070473
29,jj nnp nnp nnp,POS,0.0038751685060560703,deepseek-r1-0528,0.07301093093663912,2.2932388615428825,0.046220367343265734,0.017454577179764695,0.07301093093663912
30,nnp nnp nnp nn nn,POS,0.003805812681093812,deepseek-r1-0528,0.021665001809107146,2.3744971940166058,0.013209533056809449,0.0050385402525232915,0.021665001809107146
31,. *,CHAR,0.0037890097592025995,deepseek-r1-0528,0.046967622127877674,3.8661160075780123,0.01835150403346391,0.005945551807436869,0.046967622127877674
32,cd vb jj,POS,0.0037726943846791983,deepseek-r1-0528,0.06699535643196734,2.534131695763977,0.03775892761285874,0.015115478251543852,0.06699535643196734
33, (,CHAR,0.0037002277094870806,deepseek-r1-0528,0.04534373100441263,2.317075784954672,0.02569498493245361,0.01344376830277895,0.04534373100441263
34,me to elaborate,WORD,0.003571302630007267,claude-3-5-haiku-20241022,0.022899845654370553,33.091812421255604,0.0010228088286422929,0.022899845654370553,0.00036120799528053794
35,jj nns cd,POS,0.0034769284538924694,claude-3-5-haiku-20241022,0.02482417200577027,2.7693133081576367,0.0065519988240039665,0.02482417200577027,0.011376033488794863
36,in dt nn cc,POS,0.003305700607597828,chatgpt-4o-latest-20250326,0.013671422576955847,1.2300109923144862,0.013671422576955847,0.010264035273091516,0.01196571947279027
37,""" ",CHAR,0.003096828004345298,deepseek-r1-0528,0.02037263342315523,1.9507921237036818,0.008234372056485507,0.012652150115527974,0.02037263342315523
38,jj nn nns,POS,0.0029683003667742014,claude-3-5-haiku-20241022,0.05369025718423848,2.06438167317081,0.022085708517992738,0.05369025718423848,0.029930113766837626
39,f ,CHAR,0.0029575449880212545,chatgpt-4o-latest-20250326,0.03244624549848473,1.2129795439400195,0.03244624549848473,0.026976566840349252,0.026521852729222015
40,nn jj nn in,POS,0.0028996188193559647,deepseek-r1-0528,0.011254964041677308,1.6459447287725424,0.006077772076966313,0.007598218615778185,0.011254964041677308
41,##,CHAR,0.0028563414234668016,chatgpt-4o-latest-20250326,0.04893647702746968,3.236384711350082,0.04893647702746968,0.008832276682774445,0.021409167493786848
42,: ,CHAR,0.002834532642737031,chatgpt-4o-latest-20250326,0.02341182316125771,1.1232393998160342,0.02341182316125771,0.018832459720672084,0.02285379530537621
43,na,CHAR,0.0028302448336035013,claude-3-5-haiku-20241022,0.030336328435497547,1.1487804405210684,0.024291903009252366,0.030336328435497547,0.028522936479061053
44,ica,CHAR,0.0027802155818790197,claude-3-5-haiku-20241022,0.02370358521302047,1.5847645519881595,0.01292960515792859,0.02370358521302047,0.01698472324942844
45,".
",CHAR,0.002719026291742921,chatgpt-4o-latest-20250326,0.02041435596036377,1.9110242521327168,0.02041435596036377,0.003273747617708303,0.018091082291233934
46,the ,CHAR,0.00271641556173563,deepseek-r1-0528,0.05201979387587959,1.1087120314297734,0.0490303372509427,0.04480790260306854,0.05201979387587959
47, 1,CHAR,0.0026749088428914547,claude-3-5-haiku-20241022,0.012135624295578816,1.2210858048452027,0.008683337181870854,0.012135624295578816,0.011193436467187243
48,like me to elaborate on,WORD,0.0025857705622911453,claude-3-5-haiku-20241022,0.022899845654370553,33.091812421255604,0.0010228088286422929,0.022899845654370553,0.00036120799528053794
49,", ",CHAR,0.002585438545793295,deepseek-r1-0528,0.08655372657104886,1.2243057120104013,0.08066334657938301,0.0607289943982891,0.08655372657104886
50,cc jj nnp nnp,POS,0.0025653885677456856,deepseek-r1-0528,0.016917203522925757,4.415909832619937,0.005535474446045295,0.002126456955746501,0.016917203522925757
