feature,importance,category
POS: nn nnp nnp nn,0.0016827055,POS
POS: jj jj nns,0.0016792999,POS
POS: jj jj nn,0.0016757847,POS
CHAR: cti,0.0016725037,CHAR
POS: dt nn in prp,0.0016659651,POS
"CHAR: :
",0.0016658094,CHAR
POS: prp md vb,0.0016650516,POS
CHAR: ul,0.0016341006,CHAR
POS: jj nn in jj nn,0.001633598,POS
POS: dt nn rb,0.0016215298,POS
POS: jj jj nnp,0.0016187131,POS
WORD: would you like me,0.0016180883,WORD
WORD: if you want,0.0016086466,WORD
POS: dt nn in nn,0.0016034162,POS
CHAR:  and,0.0015694189,CHAR
POS: dt nn pos,0.001564979,POS
CHAR: fa,0.0015623526,CHAR
POS: nn cc jj nns,0.0015564155,POS
POS: nn prp md,0.001555766,POS
POS: nns nnp nnp nnp,0.0015525921,POS
CHAR:  pe,0.0015472865,CHAR
POS: jj nn in nn,0.0015235557,POS
POS: jj nns vbg,0.0015193665,POS
POS: nnp nnp nnp in,0.0015170646,POS
CHAR: fic,0.001512997,CHAR
POS: nn dt nn vbz,0.0015113082,POS
POS: nn in nn cc,0.0015094824,POS
CHAR: ic,0.0015085797,CHAR
CHAR: oc,0.0015019674,CHAR
CHAR: nt,0.0014809904,CHAR
POS: nn nns vbg,0.0014791159,POS
POS: dt nn vbz,0.0014774065,POS
POS: dt nn jj,0.0014603016,POS
POS: nn nnp in,0.0014555302,POS
POS: prp md vb dt,0.0014464281,POS
CHAR: ting,0.00142211,CHAR
CHAR:  or ,0.0014212048,CHAR
POS: nn nn jj,0.001417772,POS
POS: nn prp md vb,0.001409517,POS
CHAR:  bu,0.0013976514,CHAR
CHAR: sa,0.0013903967,CHAR
CHAR:  tha,0.0013808026,CHAR
POS: cc dt jj,0.0013733783,POS
POS: nn nn in,0.0013724474,POS
POS: in dt nnp nnp,0.0013719026,POS
CHAR: tha,0.0013595561,CHAR
CHAR: iti,0.0013583095,CHAR
POS: nn nnp nns,0.0013568467,POS
CHAR: ers,0.0013536117,CHAR
CHAR: and ,0.0013493634,CHAR
CHAR: lin,0.0013465458,CHAR
POS: nns nn nn,0.0013460947,POS
POS: nns nn nnp,0.0013439354,POS
POS: nnp nnp nnp dt,0.0013385507,POS
POS: nn vbz jj,0.0013377098,POS
POS: nn nn nn cc,0.0013349378,POS
POS: nns wdt vbp,0.0013292868,POS
POS: vbp dt nn,0.0013265254,POS
POS: vbn to vb,0.0013208597,POS
CHAR:  f,0.0013123697,CHAR
CHAR: ik,0.0013122393,CHAR
CHAR: pt,0.0013077745,CHAR
POS: nn vbz dt nn,0.0013055156,POS
CHAR: ic ,0.0013011108,CHAR
POS: nn cc nn,0.0012972823,POS
POS: vbz dt jj,0.0012969523,POS
POS: nns nnp nn,0.0012925577,POS
POS: jj nns vbp,0.0012877535,POS
POS: nn wdt vbz,0.0012873373,POS
CHAR: 's,0.001287308,CHAR
POS: in dt nn cc,0.0012872563,POS
CHAR: the ,0.0012863147,CHAR
CHAR: der,0.0012860721,CHAR
POS: cc rb jj,0.0012845033,POS
CHAR:  o,0.0012792757,CHAR
CHAR: pr,0.0012779419,CHAR
POS: vbz dt jj nn,0.0012774896,POS
CHAR:  to ,0.0012758594,CHAR
POS: nn cc dt,0.0012743279,POS
POS: nnp vbz dt,0.0012723019,POS
CHAR: gi,0.00126631,CHAR
POS: vbg jj nns,0.0012606491,POS
CHAR: ru,0.0012604581,CHAR
POS: nn nn nn nn,0.0012595452,POS
CHAR: me ,0.0012573694,CHAR
CHAR: pi,0.0012547378,CHAR
POS: nnp nnp nn nnp,0.0012529696,POS
CHAR: ure,0.0012435667,CHAR
CHAR:  or,0.0012398046,CHAR
CHAR: ly ,0.0012395944,CHAR
POS: cc nn nnp,0.0012388207,POS
CHAR: ons,0.0012360507,CHAR
CHAR: of,0.00123074,CHAR
POS: nn jj nn nn,0.0012302398,POS
CHAR:  on,0.0012299413,CHAR
POS: nnp nn nn,0.0012297495,POS
CHAR: ist,0.0012296303,CHAR
POS: in nn nns,0.0012258587,POS
CHAR:  in ,0.0012254963,CHAR
POS: nn vb dt,0.001221324,POS
CHAR: rc,0.0012202576,CHAR
POS: cc jj nn in,0.0012193763,POS
CHAR: ly,0.0012193209,CHAR
CHAR: f ,0.0012180748,CHAR
POS: nnp nnp nnp nnp jj,0.0012176578,POS
POS: vbg dt jj,0.0012174434,POS
CHAR: ep,0.0012156457,CHAR
POS: jj nns jj,0.0012121943,POS
POS: vbg dt nn,0.0012091558,POS
POS: jj nn nnp nnp,0.0012086466,POS
POS: nn nn prp,0.0012043427,POS
POS: prp vbp rb,0.0012009641,POS
CHAR: ap,0.001200047,CHAR
POS: nn nn nnp,0.0011990636,POS
CHAR: ag,0.0011947562,CHAR
POS: vbp to vb,0.0011925419,POS
POS: to vb dt nn,0.0011911795,POS
POS: nn vbg nn,0.00119006,POS
POS: dt jj nn nn,0.0011885691,POS
CHAR: ai,0.0011871344,CHAR
CHAR: e m,0.001186924,CHAR
CHAR: yo,0.0011868243,CHAR
CHAR: ns,0.001180074,CHAR
POS: in nnp nnp nnp,0.0011785108,POS
CHAR: ver,0.0011773942,CHAR
CHAR:  yo,0.0011750046,CHAR
"CHAR: , a",0.0011677904,CHAR
CHAR: pro,0.0011676727,CHAR
CHAR: s.,0.0011675619,CHAR
CHAR: ak,0.0011663361,CHAR
CHAR:  wi,0.0011656655,CHAR
CHAR: men,0.0011610164,CHAR
POS: nn vbz dt jj,0.00115883,POS
POS: to vb nn,0.0011533919,POS
POS: in jj nn nn,0.00115048,POS
CHAR:  di,0.0011491479,CHAR
CHAR: for,0.0011488219,CHAR
CHAR: ore,0.0011448878,CHAR
POS: nn nn nn nn nn,0.0011434894,POS
POS: cc nnp nnp,0.0011397253,POS
CHAR: s. ,0.0011377787,CHAR
POS: nnp nnp rb,0.0011312773,POS
CHAR: wh,0.001131257,CHAR
CHAR:  the,0.0011299164,CHAR
WORD: help you with,0.0011288896,WORD
POS: in nn cc nn,0.0011254639,POS
CHAR: ur ,0.0011241939,CHAR
CHAR: te ,0.0011211926,CHAR
CHAR: rn,0.0011203005,CHAR
CHAR:  of ,0.0011184312,CHAR
POS: nnp nnp cc nnp nnp,0.0011182695,POS
CHAR: s o,0.0011180835,CHAR
CHAR: lo,0.0011145785,CHAR
CHAR:  in,0.0011145031,CHAR
POS: nn jj nns,0.001113515,POS
POS: jj nn in,0.001113134,POS
POS: vbn in dt,0.0011071276,POS
"CHAR: e, ",0.0011070737,CHAR
POS: rb vbn in,0.0011043302,POS
CHAR: rat,0.0011037755,CHAR
CHAR: rs ,0.0011028253,CHAR
POS: nn to vb,0.0011016296,POS
POS: nns vbn in,0.0010994645,POS
CHAR: ive ,0.0010990233,CHAR
CHAR: ical,0.0010977414,CHAR
POS: dt jj nn in,0.0010966518,POS
POS: jj nns rb,0.0010944315,POS
CHAR: wit,0.0010941327,CHAR
CHAR: are,0.0010908933,CHAR
CHAR: nal,0.0010900968,CHAR
POS: dt nn dt,0.0010890154,POS
POS: jj nns in,0.0010887523,POS
CHAR: as ,0.0010879606,CHAR
POS: jj nnp nnp,0.0010852631,POS
"CHAR: s,",0.0010827275,CHAR
CHAR:  of,0.0010819829,CHAR
CHAR: ex,0.001080289,CHAR
CHAR:  k,0.0010793944,CHAR
CHAR: ion,0.0010774609,CHAR
POS: in vbg dt,0.0010761992,POS
CHAR: ne,0.0010743111,CHAR
POS: nnp nn jj,0.0010690688,POS
CHAR: en,0.0010644565,CHAR
POS: jj nn nn in,0.0010636481,POS
CHAR: ra,0.0010614647,CHAR
POS: nn vbz in,0.001061007,POS
CHAR: lu,0.0010596297,CHAR
CHAR: ke ,0.0010566075,CHAR
POS: nns in dt nn,0.001055855,POS
CHAR: w ,0.0010558196,CHAR
CHAR: di,0.0010553434,CHAR
CHAR: l ,0.0010551466,CHAR
CHAR:  h,0.0010538461,CHAR
CHAR: ions,0.0010483402,CHAR
CHAR: er,0.0010473705,CHAR
POS: nnp jj nnp,0.0010472917,POS
POS: rb dt nn,0.0010466304,POS
CHAR: sp,0.0010441222,CHAR
POS: nns jj nns,0.0010428221,POS
POS: prp vbz dt,0.0010424822,POS
POS: in nn nn cc,0.0010411511,POS
CHAR: spe,0.0010401984,CHAR
CHAR: con,0.0010397228,CHAR
CHAR: ls,0.0010353804,CHAR
POS: to vb dt,0.0010341237,POS
CHAR:  for,0.0010329296,CHAR
POS: in jj nns,0.0010329201,POS
CHAR: en ,0.0010293383,CHAR
POS: nnp nnp in,0.0010283361,POS
CHAR: ol,0.0010275743,CHAR
CHAR: tiv,0.0010263899,CHAR
CHAR: r ,0.0010262891,CHAR
CHAR: nd,0.0010251275,CHAR
POS: nnp nnp jj nn,0.00102314,POS
CHAR: ec,0.0010182522,CHAR
POS: nnp in nn,0.001017539,POS
CHAR: ment,0.0010171611,CHAR
CHAR: tio,0.0010167541,CHAR
CHAR: nte,0.0010167522,CHAR
POS: nnp nnp vbd,0.0010162912,POS
CHAR: o ,0.0010154081,CHAR
POS: dt nn in dt nn,0.0010146428,POS
CHAR:  sp,0.001013815,CHAR
CHAR: lly,0.0010134061,CHAR
POS: nn nnp nnp,0.0010125955,POS
CHAR: e p,0.0010123452,CHAR
CHAR: is,0.001011778,CHAR
CHAR: na,0.0010102497,CHAR
CHAR: n ,0.0010099844,CHAR
POS: jj nn in prp,0.0010097672,POS
CHAR:  mo,0.0010089093,CHAR
POS: jj nn nn,0.0010074135,POS
POS: jj nn dt nn,0.0010058976,POS
CHAR: ng t,0.0010035539,CHAR
CHAR: ua,0.0009988399,CHAR
CHAR: ay,0.00099814,CHAR
CHAR:  de,0.0009977935,CHAR
CHAR: su,0.0009961409,CHAR
POS: jj nns nnp,0.0009934416,POS
POS: nn prp vbp,0.0009927341,POS
CHAR:  com,0.0009910907,CHAR
CHAR: h ,0.0009885456,CHAR
CHAR: se,0.0009884781,CHAR
CHAR: ts,0.0009879991,CHAR
CHAR: le,0.0009878331,CHAR
CHAR:  an,0.000984995,CHAR
POS: nns nns cc,0.0009842544,POS
POS: jj nn cc nn,0.0009840243,POS
"CHAR: s, ",0.0009837038,CHAR
CHAR: ff,0.0009830509,CHAR
POS: nnp in nnp,0.0009803735,POS
CHAR: ot,0.0009793467,CHAR
POS: jj cc jj,0.0009780341,POS
POS: nn nns in,0.0009778567,POS
CHAR: ov,0.0009773382,CHAR
CHAR: ent ,0.00097732,CHAR
POS: in nnp nnp nnp nnp,0.00097564864,POS
POS: vb prp nn,0.0009756326,POS
POS: nn cc jj,0.000973041,POS
CHAR: a ,0.00097266445,CHAR
CHAR: if,0.0009722197,CHAR
POS: rb in nn,0.0009695016,POS
CHAR: at,0.00096873974,CHAR
CHAR: be,0.0009671435,CHAR
POS: vbz dt jj nn in,0.0009656445,POS
POS: nn dt jj nn,0.00096466247,POS
CHAR: ing,0.0009634212,CHAR
POS: nn pos nn,0.0009616172,POS
CHAR: fu,0.0009613945,CHAR
CHAR: thi,0.0009595843,CHAR
CHAR: wa,0.0009591448,CHAR
CHAR: ca,0.00095561246,CHAR
POS: nn jj nnp nnp,0.00095525954,POS
CHAR: nd ,0.000949299,CHAR
CHAR: ou,0.00094823365,CHAR
CHAR: e t,0.00094771344,CHAR
CHAR: fe,0.00094756257,CHAR
CHAR: s t,0.0009474287,CHAR
CHAR: um,0.0009466246,CHAR
POS: nn prp vbz,0.00094637566,POS
CHAR: al ,0.0009462853,CHAR
POS: rb in prp,0.0009455104,POS
CHAR:  wh,0.0009429467,CHAR
CHAR: the,0.00094256003,CHAR
POS: vb in prp,0.0009425359,POS
CHAR: comp,0.0009398554,CHAR
CHAR: ta,0.000937218,CHAR
CHAR: el,0.00093694543,CHAR
CHAR:  a ,0.0009367013,CHAR
CHAR: nt ,0.0009360559,CHAR
CHAR:  pr,0.00093547587,CHAR
CHAR: te,0.0009354228,CHAR
POS: vb dt jj,0.00093259395,POS
CHAR: he,0.0009321351,CHAR
POS: nn in jj,0.0009321141,POS
POS: nn md vb,0.0009320198,POS
POS: nn vbg dt,0.00092889945,POS
POS: nnp nnp dt,0.00092677976,POS
POS: vbn in jj,0.0009256768,POS
POS: in dt nns,0.0009250432,POS
POS: dt nn nns,0.0009236984,POS
CHAR:  s,0.0009235272,CHAR
POS: nn nn nn nnp,0.0009227391,POS
CHAR:  l,0.00092236616,CHAR
CHAR: s:,0.0009200836,CHAR
CHAR: ive,0.00091922353,CHAR
POS: nns in nn nn,0.00091893144,POS
CHAR: you ,0.00091752614,CHAR
CHAR: tra,0.0009172927,CHAR
CHAR: la,0.0009164809,CHAR
CHAR: it,0.0009151211,CHAR
POS: nns nn nns,0.00091497734,POS
CHAR: s a,0.00091389474,CHAR
CHAR: re ,0.00091381423,CHAR
POS: nnp to vb,0.000913544,POS
POS: nnp jj jj,0.0009128156,POS
POS: nns in vbg,0.000909784,POS
CHAR: po,0.00090919796,CHAR
CHAR:  he,0.0009085607,CHAR
POS: nnp nns nnp,0.00090803223,POS
CHAR: am,0.00090745336,CHAR
CHAR: ad,0.00090679363,CHAR
POS: jj nn vbg,0.0009065044,POS
POS: nns dt nn,0.0009057112,POS
POS: vb in dt,0.0009049183,POS
POS: nn nn vbz,0.0009044459,POS
POS: nns cc jj nns,0.0009042987,POS
CHAR: an ,0.00090365467,CHAR
POS: to dt nn,0.0009030539,POS
CHAR: e c,0.00090294256,CHAR
POS: jj nns nnp nnp,0.0009009757,POS
CHAR: cr,0.0009005921,CHAR
CHAR: co,0.000900554,CHAR
CHAR: or,0.00089841866,CHAR
POS: jj nn jj,0.0008977208,POS
CHAR:  int,0.00089680887,CHAR
CHAR:  p,0.00089619536,CHAR
POS: nn vbz vbn,0.0008959808,POS
CHAR: ke,0.0008957537,CHAR
CHAR:  to,0.0008945854,CHAR
CHAR: ge,0.00089360535,CHAR
CHAR:  you,0.00089302746,CHAR
CHAR: ou ,0.0008927027,CHAR
POS: in jj jj nns,0.0008925731,POS
CHAR: ee,0.00089171884,CHAR
CHAR: od,0.00089128216,CHAR
CHAR: red,0.000890998,CHAR
CHAR: es ,0.00089092844,CHAR
POS: nn nn nn,0.00088886055,POS
POS: vbz dt nn in,0.000888855,POS
POS: in jj jj,0.00088786,POS
CHAR: ie,0.0008866459,CHAR
CHAR: ef,0.00088498014,CHAR
CHAR: can,0.00088408944,CHAR
CHAR: du,0.00088362856,CHAR
POS: nn nns jj,0.00088150427,POS
CHAR: e th,0.0008811311,CHAR
CHAR: eve,0.0008789711,CHAR
POS: in jj nns cc,0.00087597285,POS
POS: jj nns jj nn,0.00087497546,POS
POS: md vb in,0.00087485067,POS
CHAR: hat,0.0008737961,CHAR
CHAR: ea,0.0008706338,CHAR
CHAR: anc,0.0008701122,CHAR
CHAR: ct,0.0008695593,CHAR
CHAR: ia,0.00086944195,CHAR
CHAR: da,0.00086904096,CHAR
CHAR: c ,0.0008678006,CHAR
CHAR: ble,0.0008636206,CHAR
POS: md vb jj,0.0008623705,POS
CHAR: pre,0.00086220924,CHAR
CHAR: k ,0.00086179876,CHAR
POS: vb jj nns,0.00086103874,POS
POS: jj nn nns in,0.00086069223,POS
POS: nn nnp jj,0.0008584834,POS
CHAR: wo,0.00085543474,CHAR
POS: md vb dt,0.0008552886,POS
CHAR: era,0.00085429376,CHAR
CHAR: ve,0.0008539522,CHAR
CHAR:  c,0.00085280015,CHAR
CHAR: e a,0.00085249316,CHAR
POS: nnp in dt,0.0008518458,POS
CHAR: to ,0.0008506313,CHAR
CHAR: an,0.00085038785,CHAR
POS: jj nn in jj,0.0008495314,POS
CHAR: im,0.00084874535,CHAR
CHAR: mi,0.00084611465,CHAR
CHAR: with,0.0008459422,CHAR
CHAR: bi,0.0008441907,CHAR
CHAR: li,0.0008439744,CHAR
POS: jj nn nn jj,0.0008435885,POS
POS: nn in vbg,0.0008431184,POS
CHAR: tr,0.00084254675,CHAR
POS: in jj nn,0.0008417949,POS
CHAR:  on ,0.00084146485,CHAR
CHAR: he ,0.0008412036,CHAR
CHAR: un,0.0008405186,CHAR
POS: dt nn to,0.00083882804,POS
POS: vbz dt nn,0.0008375828,POS
POS: nn nn cd,0.00083680317,POS
POS: rb vb dt,0.00083680084,POS
CHAR: g t,0.00083608495,CHAR
POS: nn cc nnp,0.00083333306,POS
CHAR: ith ,0.0008319053,CHAR
POS: nn nnp vbz,0.00082910527,POS
CHAR:  un,0.0008278794,CHAR
CHAR: gr,0.0008262551,CHAR
POS: prp jj nn,0.000826184,POS
CHAR: ent,0.0008255375,CHAR
POS: dt nn in jj,0.0008252317,POS
CHAR: ine,0.00082513085,CHAR
POS: dt nn in,0.0008248526,POS
POS: vbn in dt nn,0.0008239895,POS
POS: in dt nn nn,0.0008232401,POS
POS: vbg nns in,0.0008214614,POS
CHAR:  y,0.00082138303,CHAR
CHAR: n t,0.00082066655,CHAR
CHAR: ty ,0.0008204326,CHAR
CHAR: wi,0.0008197017,CHAR
CHAR: ld,0.00081880495,CHAR
CHAR: ue,0.00081792974,CHAR
CHAR: om,0.0008173401,CHAR
CHAR: ain,0.00081711495,CHAR
CHAR: ds,0.00081705244,CHAR
CHAR: ant,0.0008147524,CHAR
POS: cc nn nn,0.0008132771,POS
CHAR: in ,0.00081222365,CHAR
CHAR: ith,0.0008121106,CHAR
CHAR: ect,0.00081164803,CHAR
POS: nn cc vbg,0.00081111107,POS
CHAR:  li,0.00080841914,CHAR
CHAR: fo,0.00080805353,CHAR
POS: nn jj nnp,0.0008067791,POS
CHAR: pa,0.0008067315,CHAR
CHAR: s ,0.00080598326,CHAR
POS: vbn in dt jj,0.00080419966,POS
CHAR: ro,0.0008019987,CHAR
POS: nns cc jj,0.0008015097,POS
CHAR: ial,0.00080114993,CHAR
POS: nn in dt nn,0.0008004827,POS
CHAR: ab,0.00080016407,CHAR
WORD: if you like,0.0008001307,WORD
CHAR:  co,0.0008000498,CHAR
CHAR: int,0.0008000366,CHAR
POS: in nns in,0.00079952826,POS
CHAR: nc,0.0007988575,CHAR
CHAR: is ,0.0007978586,CHAR
CHAR: cu,0.00079780165,CHAR
POS: nn in nns,0.0007976422,POS
CHAR:  th,0.00079745107,CHAR
CHAR: ni,0.00079593563,CHAR
POS: dt jj nns,0.00079523167,POS
POS: jj nn in dt jj,0.0007948622,POS
POS: in nn nnp,0.00079276855,POS
POS: dt nn cc,0.000791383,POS
CHAR: iv,0.0007907715,CHAR
POS: cc jj nns,0.0007905063,POS
CHAR: u ,0.00078981044,CHAR
CHAR: y ,0.0007886832,CHAR
CHAR: ut ,0.0007885035,CHAR
POS: jj nns in dt,0.0007874325,POS
CHAR: ki,0.0007871772,CHAR
CHAR: me,0.0007867377,CHAR
CHAR: uc,0.0007849917,CHAR
POS: nns md vb,0.00078472367,POS
POS: jj nn to,0.000783687,POS
CHAR: oo,0.00078354415,CHAR
CHAR:  n,0.0007833277,CHAR
CHAR:  m,0.00078310294,CHAR
POS: in jj nn nns,0.0007806594,POS
CHAR: on ,0.00077953306,CHAR
CHAR: ow,0.00077827397,CHAR
POS: cd nn nnp,0.0007777291,POS
CHAR: no,0.0007771329,CHAR
POS: nn nn dt,0.0007762653,POS
CHAR:  t,0.000773573,CHAR
CHAR: fi,0.0007731094,CHAR
CHAR:  con,0.0007718846,CHAR
CHAR: we,0.0007713436,CHAR
CHAR: age,0.00077048666,CHAR
POS: in prp nn,0.0007704439,POS
CHAR: os,0.0007703452,CHAR
CHAR: et,0.0007688854,CHAR
CHAR:  ch,0.00076753093,CHAR
CHAR:  se,0.00076744956,CHAR
POS: jj jj jj,0.00076586724,POS
CHAR: ere,0.00076479575,CHAR
POS: jj nnp nnp nnp nnp,0.0007635012,POS
CHAR:  so,0.0007632794,CHAR
CHAR: com,0.00076064875,CHAR
CHAR: ll,0.00076030765,CHAR
CHAR: us,0.000758196,CHAR
POS: to vb nns,0.0007581874,POS
CHAR: ns ,0.0007576131,CHAR
POS: nnp nnp nn,0.00075647404,POS
POS: nns in prp,0.00075565575,POS
POS: to vb prp,0.0007553194,POS
CHAR:  ma,0.00075440854,CHAR
CHAR: in,0.00075437425,CHAR
CHAR: e i,0.00075307046,CHAR
CHAR: op,0.00075173826,CHAR
"CHAR: , an",0.00075131445,CHAR
CHAR: t ,0.00074917614,CHAR
CHAR: al,0.00074828626,CHAR
POS: nnp nnp nn nnp nnp,0.0007480952,POS
"CHAR: e,",0.0007476565,CHAR
CHAR: de,0.00074706844,CHAR
CHAR:  e,0.00074561423,CHAR
CHAR: do,0.0007444068,CHAR
CHAR: ss,0.0007441337,CHAR
CHAR: ce ,0.00074375793,CHAR
CHAR: est,0.0007432158,CHAR
POS: jj nn cc jj,0.00074161106,POS
CHAR:  g,0.0007394088,CHAR
CHAR: per,0.00073780713,CHAR
POS: jj cc jj nns,0.0007372133,POS
POS: nn in jj nns,0.0007369691,POS
CHAR:  fo,0.0007362325,CHAR
POS: nnp cc nnp,0.0007358652,POS
POS: in dt nn,0.0007350915,POS
CHAR:  w,0.0007339376,CHAR
CHAR: s i,0.00073378073,CHAR
CHAR: ity,0.0007324315,CHAR
CHAR: pl,0.0007310078,CHAR
POS: nns in nn,0.00073043845,POS
CHAR: or ,0.00072937284,CHAR
POS: nnp nnp jj,0.0007290653,POS
CHAR: bl,0.00072672585,CHAR
CHAR: ry,0.0007258891,CHAR
CHAR: ces,0.00072289124,CHAR
POS: jj jj cc,0.00072227296,POS
CHAR: il,0.0007197874,CHAR
POS: jj nns nn,0.0007187733,POS
CHAR: rt,0.0007186221,CHAR
POS: vbp jj nns,0.000717863,POS
CHAR: st ,0.0007175384,CHAR
CHAR:  d,0.00071678247,CHAR
CHAR: rd,0.0007157625,CHAR
POS: nn in dt,0.0007155962,POS
CHAR: ga,0.00071415346,CHAR
CHAR: d ,0.00071404595,CHAR
CHAR: s th,0.00071372866,CHAR
CHAR: re,0.0007133413,CHAR
POS: nnp nn nnp nn,0.00071282074,POS
CHAR: si,0.0007111986,CHAR
CHAR: ur,0.00071110175,CHAR
POS: nn cd nn,0.00071065204,POS
CHAR: i ,0.00071032246,CHAR
CHAR: mp,0.00070904806,CHAR
POS: nnp nnp nns,0.00070797367,POS
CHAR:  a,0.00070513505,CHAR
POS: nns in jj nn,0.0007041404,POS
POS: vb nnp nnp,0.0007022235,POS
CHAR: ut,0.00070097425,CHAR
CHAR: tive,0.00070061133,CHAR
CHAR:  is,0.0007004957,CHAR
CHAR: ed ,0.00069923856,CHAR
CHAR: ng,0.0006990162,CHAR
POS: jj nn nn nn,0.0006971528,POS
CHAR:  v,0.0006969107,CHAR
CHAR: ch,0.0006961082,CHAR
CHAR:  en,0.0006950762,CHAR
POS: nnp cd nnp,0.0006947857,POS
POS: vb dt nn,0.00069451873,POS
CHAR: act,0.0006944974,CHAR
CHAR: cal,0.0006944699,CHAR
CHAR:  u,0.00069436716,CHAR
POS: nn in dt jj,0.0006940596,POS
CHAR: eat,0.00069357257,CHAR
POS: in dt nn nnp,0.0006933522,POS
CHAR: ti,0.00069329626,CHAR
POS: cc jj nn,0.00069224514,POS
CHAR: ma,0.0006906051,CHAR
CHAR:  no,0.00068899576,CHAR
CHAR: man,0.0006875036,CHAR
POS: in prp vbp,0.0006861458,POS
CHAR: ted ,0.000685902,CHAR
CHAR: p ,0.00068554835,CHAR
CHAR: g ,0.0006848893,CHAR
CHAR: her,0.0006844464,CHAR
CHAR: th ,0.00068208267,CHAR
CHAR:  su,0.0006779727,CHAR
POS: nn nnp cc,0.0006778064,POS
CHAR: n a,0.0006773323,CHAR
CHAR:  po,0.0006748804,CHAR
POS: nn in prp nn,0.00067412766,POS
CHAR: io,0.00067362125,CHAR
CHAR: ck,0.00067255937,CHAR
POS: nn nn cc,0.0006723621,POS
CHAR: se ,0.00067230687,CHAR
WORD: you like me,0.00067137374,WORD
CHAR: tu,0.00066958653,CHAR
CHAR: at ,0.0006671795,CHAR
POS: dt jj nn,0.00066695147,POS
